X,Y,ADDRTYPE,FATALITIES,INATTENTIONIND,INCDATE,YEAR,INJURIES,LIGHTCOND,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,ROADCOND,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,UNDERINFL,VEHCOUNT,WEATHER,PEDORBIKECOUNT
-122.2642468,47.51331846,Intersection,0,,2016/10/27 00:00:00+00,2016,1,Dark - Street Lights On,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.2699975,47.52141079,Intersection,0,,2017/01/18 00:00:00+00,2017,0,Dark - Street Lights On,1,0,Y,2,Wet,0,1,Property Damage Only Collision,,N,1,Raining,1
-122.3193429,47.67584615,Intersection,0,Y,2017/01/04 00:00:00+00,2017,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3440137,47.70505031,Block,0,,2017/01/06 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,2,Ice,0,2,Injury Collision,,N,1,Other,1
-122.348318,47.61502738,Block,0,,2016/10/26 00:00:00+00,2016,1,Daylight,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3631773,47.52468687,Intersection,0,Y,2017/01/04 00:00:00+00,2017,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3659125,47.5173632,Intersection,0,,2017/01/20 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,2,Wet,0,2,Injury Collision,,N,1,Clear,1
-122.3276707,47.59835588,Intersection,0,,2016/12/29 00:00:00+00,2016,1,Dark - Street Lights On,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3240969,47.60484128,Intersection,0,,2016/12/22 00:00:00+00,2016,1,Dark - Street Lights On,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3384495,47.60878866,Block,0,,2016/11/15 00:00:00+00,2016,1,Dark - Street Lights On,0,1,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3067791,47.58965911,Intersection,0,Y,2016/12/20 00:00:00+00,2016,1,Daylight,2,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,2
